score,content,date,app,platform,keyword1,keyword2,keyword3,privacy-related
1,it didnt let me create my own password and asked for my email password. and then it asked me to sing in with facebook after i had deactivated it. i don't want to give them my personal information and then pay 80 bucks a year for this app. create a new sign up platform where i dont have to give you my email password then i may try it out.,8/9/2020 22:55,calm,google,email,personal info,facebook,1
1,"notice that a lot of the 5 star reviews use the phrase ""amazing tool"".... that's because the reviews are spammed by the company who made the app. i don't want to sign up using email, facebook, or etc. i thought it was a nice app that doesn't mine your info to sale to other companies. now i don't believe that to be true. there's no reason for an app to need all this personal info. be weary.",7/9/2017 15:58,headspace,google,email,personal info,facebook,1
2,"as soon as an app forces me to sign up with facebook (i gave up facebook long ago and would never go back) or give my email... itÃ£Â¢Ã¢ÂÃ¢Âs over. i can kind of understand if i decided to purchase the full version, but until i have been able to at least try the trial version of an app i am not giving out any personal info. just a warning to those of you who do not care for giving out your info to just anyone. like i donÃ£Â¢Ã¢ÂÃ¢Ât get enough spam already...sheesh.
(if course i keep extra emails for such situations. i would never give my main email address that i use for banking etc to any app ever) 
bye bye
*uninstalled*",5/24/2018 6:35,happify,apple,email,personal info,facebook,1
1,"installed but when i read the incredibly invasive privacy disclaimer deleted immediately! you give them consent to track you on the internet, your email, phone number, job history cv ! no way !!",4/18/2019 4:31,calm,google,email,privacy,job history,1
1,"it asks for your first and last name, email address and phone number. i did not feel comfortable sharing personal information.",2/20/2021 0:32,headspace,google,email,personal info,last name,1
2,great intro guided meditation but i don't understand why they need to collect and sell so much of my personal info (my imei # and location!?) when users are already paying real money for a subscription.,3/16/2019 17:42,calm,google,imei,personal info,location,1
1,"i am not a fan of companies, apps, websites, etc. that ask for my personal information before i try the product out. in my view, what you're doing is incredibly unethical, dodgy, greedy, and definitely not ""zen"".  this is terrible business. don't coerce people to give up their names and email addresses just to test out your app. why? so you put me on a mailing list? so you can send me spam? for all reading this, be careful with your personal information. per headspace's privacy policy ""you agree to our collection, use and sharing of your information as set forth in our privacy policy"".   headspace, if you're really confident in the value of your product you'd let people try it first. i'm going elsewhere. thank you.",3/5/2016 2:55,headspace,apple,email,privacy,personal info,1
1,"o stars

i heard about this app on a morning news program, read the great reviews so i downloaded it. then i read the privacy policy and said no thanks.
in order to use all the features of this app you have have to agree to allow cookies not only from the app developer but from third parties too. i donÃ£Â¢Ã¢ÂÃ¢Ât allow cookies. your information is shared with 3rd parties you know nothing about!  if you are giving them personal information - especially medical info it is not private. 

with the recent problems multiple websites have had with peopleÃ£Â¢Ã¢ÂÃ¢Âs personal info being collected by 3rd parties i no longer trust anyone to keep my data safe so this app is deleted from my phone.",4/3/2021 10:50,calm,apple,privacy,private,personal info,1
1,"you wouldn't get a minute of calm peaceful sleep once you know the amount of personal info this little tracking app has bundled! for your own privacy & safety get rid of this immediately. my phone security flagged this app as using an inordinate amount of processing time & dains your battery. they're pretty slick to have designed the app to run & put you to sleep before it starts gathering info on you. if you don't have a good security app on your phone, get one! i wouldn't have known w/o it!",7/12/2021 18:14,calm,google,privacy,security,personal info,1
1,"no one can expect to know if the content of this app actually helps within a seven day trial. i opened the app, it asked to associate with my facebook, which usually i decline email and other details, but this time i let hope get the best of me, expecting a safe app i allowed my email and birthday to be consumed. i was then greeted to the threat of looming avarice a week away. so i tried to edit my email to blank, but it didn't permit me, reneging upon it's optionality, breaking trust.",6/8/2020 7:13,calm,google,birth,facebook,,1
2,"you should let ppl know that you are tracking them and demand identity, credit card or payment source before the free trial. why does this look like a scam that is more interested in money than providing any genuine help? another money grab.",11/10/2019 3:06,calm,google,credit card,,,1
1,i got it and i got to listen to music and the first thing that shows up is the locked one and in order to listen to those ones you have to pay then when you do that the 7 day free trial they ask you to inter your credit card info then when you want to cancel they now have your credit card info and they can charge you other wise there ok,2/11/2019 19:14,calm,apple,credit card,,,1
1,need credit card to access. jump through hoops just to get started. wants to know too much personal info.,12/13/2020 3:09,calm,google,credit card,,,1
1,itÃ£Â¢Ã¢ÂÃ¢Âs a scam. you have to give up an email address or connect by facebook (and we all know how safe that is) before you see it will cost $60 for whatever this supposedly life-changing content is.,4/25/2018 6:03,calm,apple,email,facebook,,1
1,"there is no reason for an app like this to require signin just to test it. that's a sure sign that the developers are gathering email and facebook info for resale. they make money no matter what you do. and promises that they do no such thing? yeah, and i've got some beach property in arizona i'll sell cheap.",5/18/2016 3:27,headspace,apple,email,facebook,,1
